[I 220131 11:29:50 engine:76] TRAIN | Epoch: [92/150][740/7830] | Time: 0.000/0.243 | Loss: 0.171 | Acc: 0.902 | mIoU: 0.462
[I 220131 11:29:52 engine:76] TRAIN | Epoch: [92/150][750/7830] | Time: 0.000/0.225 | Loss: 0.294 | Acc: 0.802 | mIoU: 0.449
[I 220131 11:29:54 engine:76] TRAIN | Epoch: [92/150][760/7830] | Time: 0.000/0.226 | Loss: 0.121 | Acc: 0.962 | mIoU: 0.643
[I 220131 11:29:57 engine:76] TRAIN | Epoch: [92/150][770/7830] | Time: 0.000/0.229 | Loss: 0.011 | Acc: 1.000 | mIoU: 0.999
[I 220131 11:29:59 engine:76] TRAIN | Epoch: [92/150][780/7830] | Time: 0.000/0.224 | Loss: 0.095 | Acc: 0.967 | mIoU: 0.935
[I 220131 11:30:01 engine:76] TRAIN | Epoch: [92/150][790/7830] | Time: 0.000/0.226 | Loss: 0.330 | Acc: 0.868 | mIoU: 0.558
[I 220131 11:30:04 engine:76] TRAIN | Epoch: [92/150][800/7830] | Time: 0.000/0.225 | Loss: 0.014 | Acc: 0.999 | mIoU: 0.998
[I 220131 11:30:06 engine:76] TRAIN | Epoch: [92/150][810/7830] | Time: 0.000/0.228 | Loss: 0.401 | Acc: 0.821 | mIoU: 0.463
[I 220131 11:30:08 engine:76] TRAIN | Epoch: [92/150][820/7830] | Time: 0.000/0.225 | Loss: 0.005 | Acc: 1.000 | mIoU: 0.999
[I 220131 11:30:10 engine:76] TRAIN | Epoch: [92/150][830/7830] | Time: 0.000/0.225 | Loss: 0.068 | Acc: 0.970 | mIoU: 0.859
[I 220131 11:30:13 engine:76] TRAIN | Epoch: [92/150][840/7830] | Time: 0.000/0.231 | Loss: 0.050 | Acc: 0.979 | mIoU: 0.847
[I 220131 11:30:15 engine:76] TRAIN | Epoch: [92/150][850/7830] | Time: 0.000/0.227 | Loss: 0.015 | Acc: 0.999 | mIoU: 0.997
[I 220131 11:30:17 engine:76] TRAIN | Epoch: [92/150][860/7830] | Time: 0.000/0.233 | Loss: 0.111 | Acc: 0.958 | mIoU: 0.839
[I 220131 11:30:20 engine:76] TRAIN | Epoch: [92/150][870/7830] | Time: 0.000/0.242 | Loss: 0.399 | Acc: 0.797 | mIoU: 0.657
[I 220131 11:30:22 engine:76] TRAIN | Epoch: [92/150][880/7830] | Time: 0.000/0.235 | Loss: 0.082 | Acc: 0.972 | mIoU: 0.941
[I 220131 11:30:24 engine:76] TRAIN | Epoch: [92/150][890/7830] | Time: 0.000/0.226 | Loss: 0.212 | Acc: 0.928 | mIoU: 0.607
[I 220131 11:30:27 engine:76] TRAIN | Epoch: [92/150][900/7830] | Time: 0.000/0.234 | Loss: 0.062 | Acc: 0.978 | mIoU: 0.638
[I 220131 11:30:29 engine:76] TRAIN | Epoch: [92/150][910/7830] | Time: 0.000/0.227 | Loss: 0.138 | Acc: 0.955 | mIoU: 0.897
[I 220131 11:30:31 engine:76] TRAIN | Epoch: [92/150][920/7830] | Time: 0.000/0.252 | Loss: 0.056 | Acc: 0.984 | mIoU: 0.816
[I 220131 11:30:34 engine:76] TRAIN | Epoch: [92/150][930/7830] | Time: 0.000/0.246 | Loss: 0.016 | Acc: 0.998 | mIoU: 0.779
[I 220131 11:30:36 engine:76] TRAIN | Epoch: [92/150][940/7830] | Time: 0.000/0.245 | Loss: 0.078 | Acc: 0.971 | mIoU: 0.927
[I 220131 11:30:38 engine:76] TRAIN | Epoch: [92/150][950/7830] | Time: 0.000/0.226 | Loss: 0.123 | Acc: 0.957 | mIoU: 0.832
[I 220131 11:30:40 engine:76] TRAIN | Epoch: [92/150][960/7830] | Time: 0.000/0.226 | Loss: 0.064 | Acc: 0.989 | mIoU: 0.658
[I 220131 11:30:43 engine:76] TRAIN | Epoch: [92/150][970/7830] | Time: 0.000/0.228 | Loss: 0.059 | Acc: 0.989 | mIoU: 0.494
[I 220131 11:30:45 engine:76] TRAIN | Epoch: [92/150][980/7830] | Time: 0.000/0.231 | Loss: 0.040 | Acc: 0.988 | mIoU: 0.849
[I 220131 11:30:47 engine:76] TRAIN | Epoch: [92/150][990/7830] | Time: 0.000/0.241 | Loss: 0.020 | Acc: 0.996 | mIoU: 0.659
[I 220131 11:30:50 engine:76] TRAIN | Epoch: [92/150][1000/7830] | Time: 0.000/0.227 | Loss: 0.208 | Acc: 0.926 | mIoU: 0.569
[I 220131 11:30:52 engine:76] TRAIN | Epoch: [92/150][1010/7830] | Time: 0.000/0.226 | Loss: 0.173 | Acc: 0.910 | mIoU: 0.802
[I 220131 11:30:54 engine:76] TRAIN | Epoch: [92/150][1020/7830] | Time: 0.000/0.225 | Loss: 0.124 | Acc: 0.958 | mIoU: 0.518
[I 220131 11:30:57 engine:76] TRAIN | Epoch: [92/150][1030/7830] | Time: 0.000/0.233 | Loss: 0.285 | Acc: 0.865 | mIoU: 0.575
[I 220131 11:30:59 engine:76] TRAIN | Epoch: [92/150][1040/7830] | Time: 0.000/0.226 | Loss: 0.040 | Acc: 0.995 | mIoU: 0.990
[I 220131 11:31:01 engine:76] TRAIN | Epoch: [92/150][1050/7830] | Time: 0.000/0.226 | Loss: 0.100 | Acc: 0.966 | mIoU: 0.921
[I 220131 11:31:04 engine:76] TRAIN | Epoch: [92/150][1060/7830] | Time: 0.000/0.230 | Loss: 0.016 | Acc: 0.998 | mIoU: 0.665
[I 220131 11:31:06 engine:76] TRAIN | Epoch: [92/150][1070/7830] | Time: 0.000/0.244 | Loss: 0.142 | Acc: 0.945 | mIoU: 0.806
[I 220131 11:31:08 engine:76] TRAIN | Epoch: [92/150][1080/7830] | Time: 0.000/0.228 | Loss: 0.020 | Acc: 0.997 | mIoU: 0.982
[I 220131 11:31:10 engine:76] TRAIN | Epoch: [92/150][1090/7830] | Time: 0.000/0.225 | Loss: 0.083 | Acc: 0.979 | mIoU: 0.792
[I 220131 11:31:13 engine:76] TRAIN | Epoch: [92/150][1100/7830] | Time: 0.000/0.224 | Loss: 0.280 | Acc: 0.928 | mIoU: 0.588
[I 220131 11:31:15 engine:76] TRAIN | Epoch: [92/150][1110/7830] | Time: 0.000/0.227 | Loss: 0.091 | Acc: 0.963 | mIoU: 0.896
[I 220131 11:31:17 engine:76] TRAIN | Epoch: [92/150][1120/7830] | Time: 0.000/0.234 | Loss: 0.026 | Acc: 0.993 | mIoU: 0.981
[I 220131 11:31:20 engine:76] TRAIN | Epoch: [92/150][1130/7830] | Time: 0.000/0.226 | Loss: 0.039 | Acc: 0.987 | mIoU: 0.649
[I 220131 11:31:22 engine:76] TRAIN | Epoch: [92/150][1140/7830] | Time: 0.000/0.230 | Loss: 0.275 | Acc: 0.893 | mIoU: 0.805
[I 220131 11:31:24 engine:76] TRAIN | Epoch: [92/150][1150/7830] | Time: 0.000/0.245 | Loss: 0.171 | Acc: 0.918 | mIoU: 0.827
[I 220131 11:31:27 engine:76] TRAIN | Epoch: [92/150][1160/7830] | Time: 0.000/0.236 | Loss: 0.009 | Acc: 1.000 | mIoU: 0.500
[I 220131 11:31:29 engine:76] TRAIN | Epoch: [92/150][1170/7830] | Time: 0.000/0.232 | Loss: 0.011 | Acc: 1.000 | mIoU: 1.000
[I 220131 11:31:31 engine:76] TRAIN | Epoch: [92/150][1180/7830] | Time: 0.000/0.225 | Loss: 0.053 | Acc: 0.994 | mIoU: 0.987
[I 220131 11:31:33 engine:76] TRAIN | Epoch: [92/150][1190/7830] | Time: 0.000/0.226 | Loss: 0.060 | Acc: 0.983 | mIoU: 0.726
[I 220131 11:31:36 engine:76] TRAIN | Epoch: [92/150][1200/7830] | Time: 0.000/0.225 | Loss: 0.277 | Acc: 0.927 | mIoU: 0.864
[I 220131 11:31:38 engine:76] TRAIN | Epoch: [92/150][1210/7830] | Time: 0.000/0.225 | Loss: 0.121 | Acc: 0.947 | mIoU: 0.864
[I 220131 11:31:40 engine:76] TRAIN | Epoch: [92/150][1220/7830] | Time: 0.000/0.225 | Loss: 0.091 | Acc: 0.972 | mIoU: 0.861
[I 220131 11:31:43 engine:76] TRAIN | Epoch: [92/150][1230/7830] | Time: 0.000/0.228 | Loss: 0.069 | Acc: 0.979 | mIoU: 0.879
[I 220131 11:31:45 engine:76] TRAIN | Epoch: [92/150][1240/7830] | Time: 0.000/0.227 | Loss: 0.053 | Acc: 0.981 | mIoU: 0.667
[I 220131 11:31:47 engine:76] TRAIN | Epoch: [92/150][1250/7830] | Time: 0.000/0.226 | Loss: 0.145 | Acc: 0.950 | mIoU: 0.755
